,funding_8h,current_funding,best_bid_amount,best_ask_amount,estimated_delivery_price,best_bid_price,best_ask_price,interest_value,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,stats.volume_notional,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,t,strike,m
BTC-PERPETUAL,-3.92e-06,0.0,162130.0,4280.0,64071.72,64071.5,64072.0,-0.002071349330052408,835292520.0,65998.5,62153.5,64078.0,62936.2,BTC-PERPETUAL,64075.97,64071.72,open,1714275632323,207825270.0,207825270.0,3284.40770073,1.6675,62652.5,64339.0,,,,,,,,,,,,,,
BTC-28APR24-56000-P,,,0.0,0.9,64075.02,0.0,0.0002,,27.0,0.015,0.0001,0.0002,0.00013757,BTC-28APR24-56000-P,0.0,64075.02,open,1714275635347,,1.29,0.1,0.0,0.0002,0.0002,0.0,263.79,SYN.BTC-28APR24,64076.019,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.1347494005516144
BTC-28APR24-57000-P,,,0.0,0.1,64073.83,0.0,0.0002,,9.3,0.015,0.0001,0.0001,0.00013826,BTC-28APR24-57000-P,0.0,64073.83,open,1714275636352,,5.04,0.8,0.0,0.0001,0.0001,0.0,233.14,SYN.BTC-28APR24,64076.7289,81.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.11704982345221354
BTC-28APR24-58000-P,,,0.0,1.5,64064.58,0.0,0.0002,,72.9,0.015,0.0001,0.0001,0.00011398,BTC-28APR24-58000-P,0.0,64064.58,open,1714275638369,,67.8,6.2,0.0,0.0001,0.0002,0.0,202.46,SYN.BTC-28APR24,64071.987,67.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,0.09965808074034431
BTC-28APR24-59000-P,,,0.0,0.6,64063.26,0.0,0.0001,,23.7,0.015,0.0001,0.0002,0.00021586,BTC-28APR24-59000-P,0.0,64063.26,open,1714275639374,,220.66,17.8,-33.3333,0.0001,0.0003,0.0,156.73,SYN.BTC-28APR24,64066.2969,66.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0825636473810442
BTC-28APR24-60000-P,,,0.0,6.0,64061.41,0.0,0.0002,,48.3,0.015,0.0001,0.0002,0.00042573,BTC-28APR24-60000-P,0.0,64061.41,open,1714275641387,,191.4,13.2,-50.0,0.0001,0.0004,0.0,141.1,SYN.BTC-28APR24,64064.9033,65.57,0.0,0.0,-0.00062,0.00022,0.0,0.0,0.0,60000.0,0.06575652906466302
BTC-28APR24-60500-P,,,0.0,1.0,64061.79,0.0,0.0001,,30.2,0.015,0.0001,0.0003,0.00066361,BTC-28APR24-60500-P,0.0,64061.79,open,1714275643402,,359.9,14.3,-25.0,0.0002,0.0006,0.0,113.87,SYN.BTC-28APR24,64062.8085,62.95,0.0,-1e-05,-0.00407,0.00126,0.0,-2e-05,0.0,60500.0,0.057457726249967866
BTC-28APR24-61000-P,,,0.0,0.8,64061.35,0.0,0.0001,,51.7,0.015,0.0001,0.0001,0.0009983,BTC-28APR24-61000-P,0.0,64061.35,open,1714275644411,,459.58,14.1,-88.8889,0.0001,0.001,0.0,99.51,SYN.BTC-28APR24,64063.498,59.27,0.0,-3e-05,-0.01925,0.00538,0.0,-0.0001,0.0,61000.0,0.04922722711345241
BTC-28APR24-61500-P,,,0.0,0.7,64062.91,0.0,0.0001,,29.3,0.017,0.0001,0.0001,0.00155595,BTC-28APR24-61500-P,0.0,64062.91,open,1714275646424,,1662.77,24.7,-90.0,0.0001,0.0018,0.0,85.01,SYN.BTC-28APR24,64063.7161,59.27,0.0,-0.0003,-0.21754,0.04496,0.0,-0.00093,0.0,61500.0,0.041063916474291355
BTC-28APR24-62000-P,,,0.0,0.1,64060.7,0.0,0.0001,,472.4,0.0215,0.0001,0.0004,0.00261106,BTC-28APR24-62000-P,0.0,64060.7,open,1714275647431,,46667.08,324.7,-80.0,0.0002,0.0031,0.0,70.32,SYN.BTC-28APR24,64063.6993,59.27,0.0,-0.002,-1.72179,0.25232,2e-05,-0.0063,0.0,62000.0,0.03296670624167212
BTC-28APR24-62500-P,,,1.3,10.2,64059.38,0.0002,0.0004,,104.3,0.0265,0.0001,0.0001,0.00419084,BTC-28APR24-62500-P,0.0002,64059.38,open,1714275648439,,7678.36,58.8,-97.2973,0.0001,0.0047,62.17,71.34,SYN.BTC-28APR24,64062.4121,59.28,0.0,-0.00947,-9.78418,0.96366,8e-05,-0.02985,0.0,62500.0,0.024934534544407774
BTC-28APR24-63000-P,,,1.0,1.9,64052.31,0.0002,0.0004,,141.6,0.0285,0.0001,0.0002,0.00700683,BTC-28APR24-63000-P,0.0002,64052.31,open,1714275650452,,53634.7,159.0,-96.6667,0.0002,0.0075,45.17,52.58,SYN.BTC-28APR24,64057.9318,44.61,0.0,-0.01453,-12.02959,1.36808,0.00015,-0.04584,0.0,63000.0,0.01696636489523093
BTC-28APR24-63500-P,,,0.2,0.5,64052.03,0.0004,0.0007,,91.9,0.0335,0.0001,0.0006,0.01175699,BTC-28APR24-63500-P,0.0005,64052.03,open,1714275651458,,11080.31,37.3,-94.7826,0.0002,0.0145,32.51,38.75,SYN.BTC-28APR24,64054.0135,34.99,0.0,-0.04147,-32.7667,3.02166,0.00043,-0.13086,0.0,63500.0,0.009061185388117655
BTC-28APR24-64000-P,,,20.1,3.2,64051.67,0.0017,0.0029,,161.9,0.041,0.0001,0.0009,0.01811817,BTC-28APR24-64000-P,0.0022,64051.67,open,1714275653471,,2037.99,2.3,-94.1935,0.0009,0.016,23.6,37.27,SYN.BTC-28APR24,64053.2378,29.74,0.0,-0.1423,-83.6553,5.62531,0.00094,-0.44858,0.0,64000.0,0.0012180079270918383
BTC-28APR24-64500-C,,,36.5,10.6,64051.17,0.0003,0.0011,,39.6,0.0325,0.0001,0.0007,0.00060274,BTC-28APR24-64500-C,0.0006,64051.17,open,1714275654480,,1247.53,29.8,0.0,0.0003,0.0011,25.47,39.93,SYN.BTC-28APR24,64053.3794,31.05,0.0,0.04955,-36.35304,3.42478,0.00055,0.15755,0.0,64500.0,-0.0065641325149632035
BTC-28APR24-65000-C,,,4.5,14.4,64048.61,0.0001,0.0006,,177.6,0.0275,0.0001,0.0002,0.00044376,BTC-28APR24-65000-C,0.0002,64048.61,open,1714275655486,,1161.75,58.5,-50.0,0.0001,0.0007,35.71,52.94,SYN.BTC-28APR24,64052.8779,41.17,0.0,0.01717,-13.50213,1.57282,0.00019,0.05461,0.0,65000.0,-0.014286178608873427
BTC-28APR24-65500-C,,,0.1,22.1,64047.23,0.0001,0.0005,,102.4,0.0245,0.0001,0.0001,0.00021549,BTC-28APR24-65500-C,0.0001,64047.23,open,1714275658508,,658.13,46.0,-50.0,0.0001,0.0005,50.75,69.16,SYN.BTC-28APR24,64049.8179,51.08,0.0,0.00769,-6.67346,0.81651,8e-05,0.02448,0.0,65500.0,-0.021949051354442615
BTC-28APR24-66000-C,,,0.0,27.0,64045.27,0.0,0.0005,,208.0,0.022,0.0001,0.0002,0.00014714,BTC-28APR24-66000-C,0.0,64045.27,open,1714275660521,,136.55,10.8,100.0,0.0001,0.0005,0.0,86.73,SYN.BTC-28APR24,64048.3222,58.21,0.0,0.00323,-2.87477,0.38763,3e-05,0.01026,0.0,66000.0,-0.029553650739661878
BTC-28APR24-66500-C,,,0.0,1.0,64044.83,0.0,0.0001,,18.3,0.0185,0.0001,0.0001,0.00016299,BTC-28APR24-66500-C,0.0,64044.83,open,1714275662535,,33.41,4.9,-50.0,0.0001,0.0002,0.0,78.71,SYN.BTC-28APR24,64047.3381,60.96,0.0,0.00088,-0.72603,0.12228,1e-05,0.0028,0.0,66500.0,-0.03710085637504477
BTC-28APR24-67000-C,,,0.0,1.0,64037.51,0.0,0.0001,,24.6,0.015,0.0001,0.0001,7.577e-05,BTC-28APR24-67000-C,0.0,64037.51,open,1714275664548,,13.25,2.1,0.0,0.0001,0.0001,0.0,92.04,SYN.BTC-28APR24,64045.2669,60.96,0.0,0.00014,-0.09952,0.02246,0.0,0.00044,0.0,67000.0,-0.0445915281042024
BTC-28APR24-67500-C,,,0.0,1.0,64044.93,0.0,0.0001,,15.2,0.015,0.0001,0.0001,0.00012849,BTC-28APR24-67500-C,0.0,64044.93,open,1714275669586,,6.31,1.0,0.0,0.0001,0.0001,0.0,104.94,SYN.BTC-28APR24,64046.8115,61.69,0.0,2e-05,-0.01322,0.00373,0.0,6e-05,0.0,67500.0,-0.05202650659172055
BTC-28APR24-68000-C,,,0.0,0.8,64048.91,0.0,0.0001,,15.0,0.015,0.0001,0.0001,6.423e-05,BTC-28APR24-68000-C,0.0,64048.91,open,1714275671598,,4.43,0.7,0.0,0.0001,0.0001,0.0,117.49,SYN.BTC-28APR24,64050.1179,61.7,0.0,0.0,-0.00118,0.00042,0.0,1e-05,0.0,68000.0,-0.05940661388934309
BTC-28APR24-68500-C,,,0.0,1.0,64049.78,0.0,0.0001,,11.3,0.015,0.0001,0.0001,3.021e-05,BTC-28APR24-68500-C,0.0,64049.78,open,1714275674619,,0.0,0.0,,,,0.0,129.84,SYN.BTC-28APR24,64051.2609,61.7,0.0,0.0,-8e-05,4e-05,0.0,0.0,0.0,68500.0,-0.06673265398141595
BTC-28APR24-69000-C,,,0.0,2.0,64060.87,0.0,0.0001,,12.9,0.015,0.0001,0.0001,5.519e-05,BTC-28APR24-69000-C,0.0,64060.87,open,1714275677641,,0.0,0.0,,,,0.0,141.84,SYN.BTC-28APR24,64057.048,67.69,0.0,0.0,-7e-05,3e-05,0.0,0.0,0.0,69000.0,-0.07400541331049576
BTC-28APR24-70000-C,,,0.0,8.3,64057.23,0.0,0.0001,,10.8,0.015,0.0001,0.0001,1.423e-05,BTC-28APR24-70000-C,0.0,64057.23,open,1714275679655,,0.0,0.0,,,,0.0,165.39,SYN.BTC-28APR24,64062.6503,67.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,-0.08839415076259535
BTC-28APR24-71000-C,,,0.0,3.6,64063.16,0.0,0.0001,,4.8,0.015,0.0001,0.0001,3.26e-06,BTC-28APR24-71000-C,0.0,64063.16,open,1714275680660,,0.0,0.0,,,,0.0,188.45,SYN.BTC-28APR24,64058.3768,67.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,-0.10257878575455183
BTC-28APR24-72000-C,,,0.0,2.9,64069.95,0.0,0.0001,,8.0,0.015,0.0001,0.0001,7.7e-07,BTC-28APR24-72000-C,0.0,64069.95,open,1714275682675,,1.9,0.3,0.0,0.0001,0.0001,0.0,210.6,SYN.BTC-28APR24,64064.76,68.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,-0.1165650277292916
BTC-28APR24-73000-C,,,0.0,1.1,64069.77,0.0,0.0001,,1.5,0.015,0.0001,0.0001,1.9e-07,BTC-28APR24-73000-C,0.0,64069.77,open,1714275683683,,0.0,0.0,,,,0.0,232.26,SYN.BTC-28APR24,64068.0007,69.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,-0.13035834986162742
BTC-28APR24-74000-C,,,0.0,1.3,64071.18,0.0,0.0001,,0.1,0.015,0.0001,0.0001,3e-08,BTC-28APR24-74000-C,0.0,64071.18,open,1714275685696,,0.0,0.0,,,,0.0,253.38,SYN.BTC-28APR24,64071.5968,69.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74000.0,-0.1439640019174061
BTC-28APR24-75000-C,,,0.0,1.3,64070.89,0.0,0.0001,,0.0,0.015,0.0001,,0.0,BTC-28APR24-75000-C,0.0,64070.89,open,1714275687710,,0.0,0.0,,,,0.0,274.07,SYN.BTC-28APR24,64073.0117,69.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,-0.15738702224954682
BTC-29APR24-56000-P,,,0.0,0.2,64073.94,0.0,0.0002,,6.6,0.0155,0.0001,0.0001,0.00032312,BTC-29APR24-56000-P,0.0001,64073.94,open,1714275688717,,81.1,6.8,-50.0,0.0001,0.0003,0.0,103.07,SYN.BTC-29APR24,64083.3934,95.81,0.0,-0.013,-7.05416,0.63449,0.0,-0.00616,1.0,56000.0,0.1347494005516144
BTC-29APR24-57000-P,,,0.0,6.0,64074.93,0.0,0.0005,,102.3,0.0165,0.0001,0.0001,0.00047057,BTC-29APR24-57000-P,0.0001,64074.93,open,1714275690731,,207.58,11.9,-66.6667,0.0001,0.0005,0.0,104.1,SYN.BTC-29APR24,64086.0642,87.24,0.0,-0.01788,-9.12307,0.84117,1e-05,-0.00849,1.0,57000.0,0.11704982345221354
BTC-29APR24-58000-P,,,4.6,16.2,64072.72,0.0002,0.0005,,112.1,0.02,0.0001,0.0002,0.00071941,BTC-29APR24-58000-P,0.0003,64072.72,open,1714275693752,,456.06,15.4,-66.6667,0.0002,0.0006,79.23,90.89,SYN.BTC-29APR24,64086.6239,84.08,0.0,-0.03653,-19.46901,1.56207,1e-05,-0.01734,1.0,58000.0,0.09965808074034431
BTC-29APR24-59000-P,,,7.8,0.8,64072.64,0.0002,0.0004,,79.0,0.0195,0.0001,0.0003,0.00094323,BTC-29APR24-59000-P,0.0003,64072.64,open,1714275695767,,880.87,23.6,-62.5,0.0003,0.0008,67.29,74.76,SYN.BTC-29APR24,64084.8711,71.55,0.0,-0.0421,-19.43579,1.76592,2e-05,-0.02003,1.0,59000.0,0.0825636473810442
BTC-29APR24-60000-P,,,11.8,10.5,64073.47,0.0003,0.0006,,165.2,0.021,0.0001,0.0003,0.00134788,BTC-29APR24-60000-P,0.0004,64073.47,open,1714275696772,,3905.69,52.0,-78.5714,0.0003,0.0014,58.9,66.45,SYN.BTC-29APR24,64085.131,61.96,0.0,-0.06196,-26.06626,2.44551,3e-05,-0.02952,1.0,60000.0,0.06575652906466302
BTC-29APR24-60500-P,,,1.0,2.4,64046.83,0.0004,0.0006,,6.6,0.0215,0.0001,0.0004,0.00191864,BTC-29APR24-60500-P,0.0004,64046.83,open,1714275699795,,440.59,7.1,-80.0,0.0004,0.002,55.25,59.55,SYN.BTC-29APR24,64085.6457,56.42,0.0,-0.07347,-28.83382,2.81693,4e-05,-0.03504,1.0,60500.0,0.057457726249967866
BTC-29APR24-61000-P,,,3.2,3.2,64046.61,0.0004,0.0007,,44.5,0.0225,0.0001,0.001,0.0026321,BTC-29APR24-61000-P,0.0005,64046.61,open,1714275701809,,590.48,5.3,-56.5217,0.001,0.0026,48.3,53.91,SYN.BTC-29APR24,64058.8052,51.24,0.0,-0.09445,-34.96392,3.45695,5e-05,-0.04509,1.0,61000.0,0.04922722711345241
BTC-29APR24-61500-P,,,15.0,14.4,64044.06,0.0005,0.0009,,38.8,0.024,0.0001,0.0008,0.00364062,BTC-29APR24-61500-P,0.0007,64044.06,open,1714275703823,,1892.59,15.3,-77.7778,0.0007,0.0042,43.47,49.41,SYN.BTC-29APR24,64058.5281,46.41,0.0,-0.12471,-43.74588,4.31349,7e-05,-0.05958,1.0,61500.0,0.041063916474291355
BTC-29APR24-62000-P,,,12.2,10.3,64042.01,0.0008,0.0012,,125.8,0.0265,0.0001,0.0011,0.00519776,BTC-29APR24-62000-P,0.001,64042.01,open,1714275705838,,8928.52,37.3,-75.0,0.0008,0.005,40.51,44.93,SYN.BTC-29APR24,64055.9392,42.81,0.0,-0.18431,-64.00406,5.81762,0.0001,-0.08807,1.0,62000.0,0.03296670624167212
BTC-29APR24-62500-P,,,10.0,6.9,64042.53,0.0013,0.0017,,41.9,0.03,0.0001,0.0028,0.00745736,BTC-29APR24-62500-P,0.0015,64042.53,open,1714275706843,,4011.69,15.0,-65.0,0.0027,0.008,37.5,40.79,SYN.BTC-29APR24,64054.8976,39.35,0.0,-0.27946,-97.35738,7.84544,0.00015,-0.13353,1.0,62500.0,0.024934534544407774
BTC-29APR24-63000-P,,,10.5,1.3,64041.98,0.0022,0.0027,,82.0,0.034,0.0001,0.0025,0.01062176,BTC-29APR24-63000-P,0.0025,64041.98,open,1714275708857,,11632.23,19.5,-73.6842,0.0025,0.0115,34.8,37.87,SYN.BTC-29APR24,64054.2427,36.71,0.0,-0.44012,-160.63293,10.49795,0.00022,-0.21018,1.0,63000.0,0.01696636489523093
BTC-29APR24-63500-P,,,0.3,3.1,64042.16,0.0041,0.0048,,13.0,0.0395,0.0001,0.005,0.01495674,BTC-29APR24-63500-P,0.0045,64042.16,open,1714275710873,,3279.06,6.9,-61.5385,0.005,0.013,33.92,37.32,SYN.BTC-29APR24,64053.6083,35.87,0.0,-0.69519,-200.91379,13.20787,0.00028,-0.33145,1.0,63500.0,0.009061185388117655
BTC-29APR24-64000-P,,,0.3,2.0,64041.74,0.0075,0.008,,19.2,0.046,0.0001,0.007,0.02056425,BTC-29APR24-64000-P,0.0078,64041.74,open,1714275713894,,1215.44,1.3,-58.8235,0.007,0.017,34.93,37.14,SYN.BTC-29APR24,64054.2673,36.43,0.0,-1.00857,-224.07054,14.50535,0.0003,-0.47955,1.0,64000.0,0.0012180079270918383
BTC-29APR24-64500-C,,,2.7,38.2,64039.23,0.0055,0.0065,,60.8,0.0395,0.0001,0.006,0.00233963,BTC-29APR24-64500-C,0.0058,64039.23,open,1714275715908,,3853.62,25.4,160.8696,0.0014,0.006,37.53,42.13,SYN.BTC-29APR24,64053.1652,38.91,0.0,0.77606,-228.85585,13.87133,0.00027,0.38084,1.0,64500.0,-0.0065641325149632035
BTC-29APR24-65000-C,,,1.0,5.1,64039.62,0.0038,0.0043,,68.9,0.0355,0.0001,0.0043,0.00142533,BTC-29APR24-65000-C,0.0039,64039.62,open,1714275716916,,6506.33,52.5,115.0,0.0008,0.0043,41.18,43.82,SYN.BTC-29APR24,64051.7501,41.6,0.0,0.55278,-212.72776,12.06015,0.00022,0.27102,1.0,65000.0,-0.014286178608873427
BTC-29APR24-65500-C,,,3.0,4.5,64038.82,0.0024,0.003,,7.3,0.032,0.0001,0.0023,0.00089343,BTC-29APR24-65500-C,0.0026,64038.82,open,1714275718928,,204.17,3.3,187.5,0.0007,0.0023,42.91,46.76,SYN.BTC-29APR24,64050.9857,44.23,0.0,0.38806,-166.53898,9.88356,0.00017,0.19014,1.0,65500.0,-0.021949051354442615
BTC-29APR24-66000-C,,,3.0,0.3,64039.67,0.0015,0.002,,105.4,0.029,0.0001,0.002,0.0006041,BTC-29APR24-66000-C,0.0017,64039.67,open,1714275720949,,3680.03,77.1,300.0,0.0005,0.002,44.65,48.76,SYN.BTC-29APR24,64050.1036,46.65,0.0,0.26919,-111.20598,7.77601,0.00013,0.13183,1.0,66000.0,-0.029553650739661878
BTC-29APR24-66500-C,,,1.1,3.0,64040.22,0.001,0.0014,,67.2,0.026,0.0001,0.001,0.00039057,BTC-29APR24-66500-C,0.0011,64040.22,open,1714275722961,,635.16,18.4,233.3333,0.0002,0.0011,47.12,51.38,SYN.BTC-29APR24,64051.9567,48.46,0.0,0.18148,-71.64837,5.85429,9e-05,0.08882,1.0,66500.0,-0.03710085637504477
BTC-29APR24-67000-C,,,1.9,1.0,64040.81,0.0006,0.0009,,34.6,0.0235,0.0001,0.0008,0.00027294,BTC-29APR24-67000-C,0.0007,64040.81,open,1714275725635,,386.74,17.4,166.6667,0.0002,0.0008,48.4,52.8,SYN.BTC-29APR24,64051.2223,50.62,0.0,0.1238,-47.61918,4.36916,7e-05,0.06057,1.0,67000.0,-0.0445915281042024
BTC-29APR24-67500-C,,,0.3,1.1,64043.02,0.0004,0.0006,,52.0,0.0215,0.0001,0.0004,0.00015605,BTC-29APR24-67500-C,0.0005,64043.02,open,1714275727995,,185.62,13.3,300.0,0.0001,0.0005,50.65,54.64,SYN.BTC-29APR24,64052.2461,52.23,0.0,0.08172,-30.3459,3.13503,5e-05,0.03996,1.0,67500.0,-0.05202650659172055
BTC-29APR24-68000-C,,,34.0,1.0,64047.52,0.0002,0.0005,,15.0,0.0195,0.0001,0.0004,0.00010967,BTC-29APR24-68000-C,0.0003,64047.52,open,1714275730016,,192.06,8.0,33.3333,0.0003,0.0005,50.48,58.68,SYN.BTC-29APR24,64054.0228,54.92,0.0,0.05879,-21.898,2.3915,3e-05,0.02875,1.0,68000.0,-0.05940661388934309
BTC-29APR24-68500-C,,,36.1,2.8,64053.67,0.0001,0.0003,,21.0,0.0175,0.0001,0.0002,5.745e-05,BTC-29APR24-68500-C,0.0002,64053.67,open,1714275734037,,92.95,6.9,100.0,0.0001,0.0003,50.58,59.09,SYN.BTC-29APR24,64063.8345,55.79,0.0,0.03694,-13.15768,1.61605,2e-05,0.01805,1.0,68500.0,-0.06673265398141595
BTC-29APR24-69000-C,,,1.7,0.3,64050.66,0.0001,0.0002,,5.8,0.017,0.0001,0.0001,0.00012271,BTC-29APR24-69000-C,0.0002,64050.66,open,1714275736052,,64.69,5.7,-50.0,0.0001,0.0004,55.33,60.67,SYN.BTC-29APR24,64064.2034,59.45,0.0,0.02996,-11.09271,1.35114,2e-05,0.01465,1.0,69000.0,-0.07400541331049576
BTC-29APR24-70000-C,,,0.0,0.1,64045.35,0.0,0.0002,,6.9,0.0165,0.0001,0.0002,9.467e-05,BTC-29APR24-70000-C,0.0002,64045.35,open,1714275739073,,55.73,4.9,100.0,0.0001,0.0002,0.0,70.64,SYN.BTC-29APR24,64059.2803,68.28,0.0,0.02397,-9.93841,1.11543,1e-05,0.01174,1.0,70000.0,-0.08839415076259535
BTC-29APR24-71000-C,,,0.0,1.0,64048.61,0.0,0.0001,,3.5,0.015,0.0001,0.0001,4.605e-05,BTC-29APR24-71000-C,0.0001,64048.61,open,1714275745119,,6.95,1.1,0.0,0.0001,0.0001,0.0,73.59,SYN.BTC-29APR24,64059.4994,68.29,0.0,0.00871,-3.26059,0.45616,1e-05,0.00426,1.0,71000.0,-0.10257878575455183
BTC-29APR24-72000-C,,,0.0,1.1,64055.27,0.0,0.0001,,2.0,0.015,0.0001,0.0001,1.567e-05,BTC-29APR24-72000-C,0.0,64055.27,open,1714275748139,,6.96,1.1,0.0,0.0001,0.0001,0.0,82.26,SYN.BTC-29APR24,64064.3303,68.29,0.0,0.00286,-0.97667,0.16663,0.0,0.0014,1.0,72000.0,-0.1165650277292916
BTC-29APR24-73000-C,,,0.0,1.1,64052.89,0.0,0.0001,,0.1,0.015,0.0001,0.0003,4.96e-06,BTC-29APR24-73000-C,0.0,64052.89,open,1714275751161,,0.0,0.0,,,,0.0,90.76,SYN.BTC-29APR24,64065.5029,68.29,0.0,0.00084,-0.26478,0.05396,0.0,0.00041,1.0,73000.0,-0.13035834986162742
BTC-29APR24-74000-C,,,0.0,1.1,64054.31,0.0,0.0001,,0.1,0.015,0.0001,0.0003,1.47e-06,BTC-29APR24-74000-C,0.0,64054.31,open,1714275753175,,0.0,0.0,,,,0.0,99.05,SYN.BTC-29APR24,64065.1433,68.29,0.0,0.00022,-0.06494,0.01569,0.0,0.00011,1.0,74000.0,-0.1439640019174061
BTC-29APR24-75000-C,,,0.0,1.3,64051.57,0.0,0.0001,,0.0,0.015,0.0001,,4e-07,BTC-29APR24-75000-C,0.0,64051.57,open,1714275755195,,0.0,0.0,,,,0.0,107.16,SYN.BTC-29APR24,64063.8259,68.29,0.0,5e-05,-0.01458,0.00411,0.0,3e-05,1.0,75000.0,-0.15738702224954682
BTC-30APR24-56000-P,,,3.0,2.1,64053.56,0.0004,0.0005,,28.3,0.019,0.0001,0.0006,,BTC-30APR24-56000-P,0.0004,64053.56,open,1714275762238,,1264.59,28.3,20.0,0.0005,0.001,83.39,86.26,SYN.BTC-30APR24,64072.9837,84.83,0.0,-0.07211,-28.71486,2.23366,1e-05,-0.01841,2.0,56000.0,0.1347494005516144
BTC-30APR24-57000-P,,,4.2,0.5,64051.23,0.0005,0.0007,,10.9,0.021,0.0001,0.0012,,BTC-30APR24-57000-P,0.0006,64051.23,open,1714275764252,,606.01,11.3,100.0,0.0006,0.0014,76.51,80.89,SYN.BTC-30APR24,64074.6025,79.52,0.0,-0.10373,-40.5665,3.03681,2e-05,-0.02649,2.0,57000.0,0.11704982345221354
BTC-30APR24-58000-P,,,5.5,1.6,64051.36,0.0006,0.0009,,42.1,0.022,0.0001,0.0012,,BTC-30APR24-58000-P,0.0008,64051.36,open,1714275765259,,3646.77,42.4,20.0,0.001,0.0015,68.83,74.04,SYN.BTC-30APR24,64072.7151,72.22,0.0,-0.13667,-50.45238,3.82058,2e-05,-0.03495,2.0,58000.0,0.09965808074034431
BTC-30APR24-59000-P,,,0.5,1.1,64050.93,0.0008,0.0011,,4.5,0.0235,0.0001,0.001,,BTC-30APR24-59000-P,0.001,64050.93,open,1714275767274,,497.6,4.5,-28.5714,0.001,0.0022,62.06,66.12,SYN.BTC-30APR24,64072.9971,64.53,0.0,-0.18166,-62.55339,4.8196,3e-05,-0.04653,2.0,59000.0,0.0825636473810442
